,season,award,player,age,tm,first,pts_won,pts_max,share,winner,seas_id,player_id
2476,1990,dpoy,Dennis Rodman,28,DET,49.0,49.0,92.0,0.533,True,11899,2301
2484,1990,mip,Rony Seikaly,24,MIA,37.0,37.0,92.0,0.402,True,12168,2464
2494,1990,nba mvp,Magic Johnson,30,LAL,27.0,636.0,920.0,0.691,True,12055,1878
2508,1990,nba roy,David Robinson,24,SAS,92.0,92.0,92.0,1.0,True,11893,2494
2509,1990,smoy,Ricky Pierce,30,MIL,77.0,77.0,92.0,0.837,True,12152,2090
2515,1989,dpoy,Mark Eaton,32,UTA,26.0,26.0,85.0,0.306,True,11635,2081
2523,1989,mip,Kevin Johnson,22,PHO,48.0,48.0,85.0,0.565,True,11605,2371
2534,1989,nba mvp,Magic Johnson,29,LAL,42.5,664.5,850.0,0.782,True,11623,1878
2553,1989,nba roy,Mitch Richmond,23,GSW,80.0,80.0,85.0,0.941,True,11657,2449
2556,1989,smoy,Eddie Johnson,29,PHO,33.0,33.0,85.0,0.388,True,11500,1993
2564,1988,dpoy,Michael Jordan,24,CHI,37.0,37.0,80.0,0.463,True,11208,2193
2580,1988,mip,Kevin Duckworth,23,POR,33.0,33.0,80.0,0.413,True,11152,2320
2590,1988,nba mvp,Michael Jordan,24,CHI,47.0,665.0,800.0,0.831,True,11208,2193
2607,1988,nba roy,Mark Jackson,22,NYK,77.0,77.0,80.0,0.963,True,11188,2373
2611,1988,smoy,Roy Tarpley,23,DAL,67.0,67.0,80.0,0.838,True,11294,2337
2613,1987,dpoy,Michael Cooper,30,LAL,25.0,25.0,78.0,0.321,True,10811,1823
2627,1987,mip,Dale Ellis,26,SEA,33.0,33.0,78.0,0.423,True,10638,2112
2643,1987,nba mvp,Magic Johnson,27,LAL,65.0,733.0,780.0,0.94,True,10791,1878
2660,1987,nba roy,Chuck Person,22,IND,68.0,68.0,78.0,0.872,True,10623,2292
2662,1987,smoy,Ricky Pierce,27,MIL,41.0,41.0,78.0,0.526,True,10868,2090
2665,1986,dpoy,Alvin Robertson,23,SAS,27.0,27.0,78.0,0.346,True,10190,2158
2668,1986,mip,Alvin Robertson,23,SAS,30.0,30.0,78.0,0.385,True,10190,2158
2672,1986,nba mvp,Larry Bird,29,BOS,73.0,765.0,780.0,0.981,True,10392,1875
2690,1986,nba roy,Patrick Ewing,23,NYK,36.0,36.0,78.0,0.462,True,10454,3966
2697,1986,smoy,Bill Walton,33,BOS,32.0,32.0,78.0,0.41,True,10203,1556
2702,1985,dpoy,Mark Eaton,28,UTA,32.0,32.0,78.0,0.41,True,10042,2081
2711,1985,nba mvp,Larry Bird,28,BOS,73.0,763.0,780.0,0.978,True,10015,1875
2734,1985,nba roy,Michael Jordan,21,CHI,57.5,57.5,78.0,0.737,True,10057,2193
2736,1985,smoy,Kevin McHale,27,BOS,57.0,57.0,78.0,0.731,True,10006,1938
2746,1984,dpoy,Sidney Moncrief,26,MIL,19.0,19.0,76.0,0.25,True,9782,1889
2765,1984,nba mvp,Larry Bird,27,BOS,52.0,652.0,760.0,0.858,True,9662,1875
2780,1984,nba roy,Ralph Sampson,23,HOU,76.0,76.0,76.0,1.0,True,9733,2142
2781,1984,smoy,Kevin McHale,26,BOS,59.0,59.0,76.0,0.776,True,9655,1938
2786,1983,dpoy,Sidney Moncrief,25,MIL,14.0,14.0,75.0,0.187,True,9435,1889
2792,1983,nba mvp,Moses Malone,27,PHI,69.0,720.0,750.0,0.96,True,9355,1605
2815,1983,nba roy,Terry Cummings,21,SDC,60.0,60.0,74.0,0.811,True,9452,2098
2819,1982,nba mvp,Moses Malone,26,HOU,40.0,507.0,690.0,0.735,True,8978,1605
2844,1982,nba roy,Buck Williams,21,NJN,33.0,33.0,69.0,0.478,True,8756,1981
2847,1981,nba mvp,Julius Erving,30,PHI,28.0,454.0,690.0,0.658,True,8533,1381
2878,1981,nba roy,Darrell Griffith,22,UTA,19.0,19.0,69.0,0.275,True,8425,1915
2886,1980,nba mvp,Kareem Abdul-Jabbar,32,LAL,147.0,147.0,221.0,0.665,True,8178,1204
2895,1980,nba roy,Larry Bird,23,BOS,63.0,63.0,66.0,0.955,True,8191,1875
2897,1979,nba mvp,Moses Malone,23,HOU,112.0,112.0,223.0,0.502,True,7877,1605
2907,1979,nba roy,Phil Ford,22,KCK,62.0,62.0,66.0,0.939,True,7893,1828
2909,1978,nba mvp,Bill Walton,25,POR,96.0,96.0,238.0,0.403,True,7296,1556
2923,1978,nba roy,Walter Davis,23,PHO,49.3,49.3,66.0,0.747,True,7629,1788
2928,1977,nba mvp,Kareem Abdul-Jabbar,29,LAL,159.0,159.0,247.0,0.644,True,7112,1204
2942,1977,nba roy,Adrian Dantley,21,BUF,44.0,44.0,66.0,0.667,True,6917,1692
2948,1976,nba mvp,Kareem Abdul-Jabbar,28,LAL,52.0,409.0,925.0,0.442,True,6729,1204
2978,1976,nba roy,Alvan Adams,21,PHO,16.6,16.6,18.0,0.922,True,6492,1624
2990,1975,nba mvp,Bob McAdoo,23,BUF,81.0,547.0,965.0,0.567,True,6104,1424
3012,1975,nba roy,Jamaal Wilkes,21,GSW,7.6,7.6,18.0,0.422,True,6247,1587
3023,1974,nba mvp,Kareem Abdul-Jabbar,26,MIL,74.0,528.0,905.0,0.583,True,5882,1204
3043,1974,nba roy,Ernie DiGregorio,23,BUF,16.0,16.0,17.0,0.941,True,5769,1503
3059,1973,nba mvp,Dave Cowens,24,BOS,67.0,444.0,875.0,0.507,True,5316,1260
3081,1973,nba roy,Bob McAdoo,21,BUF,12.8,12.8,17.0,0.753,True,5260,1424
3092,1972,nba mvp,Kareem Abdul-Jabbar,24,MIL,81.0,581.0,900.0,0.646,True,5043,1204
3119,1972,nba roy,Sidney Wicks,22,POR,77.0,77.0,115.0,0.67,True,5160,1403
3141,1971,nba mvp,Kareem Abdul-Jabbar,23,MIL,133.0,698.0,780.0,0.895,True,4581,1204
3151,1971,nba roy,Dave Cowens,22,BOS,36.0,36.0,98.0,0.367,True,4414,1260
3152,1971,nba roy,Geoff Petrie,22,POR,36.0,36.0,98.0,0.367,True,4488,1276
3175,1970,nba mvp,Willis Reed,27,NYK,61.0,498.0,775.0,0.643,True,4311,839
3194,1970,nba roy,Kareem Abdul-Jabbar,22,MIL,78.0,78.0,78.0,1.0,True,4157,1204
3207,1969,nba mvp,Wes Unseld,22,BAL,53.0,310.0,515.0,0.602,True,3888,1155
3212,1969,nba roy,Wes Unseld,22,BAL,53.0,53.0,78.0,0.679,True,3888,1155
3226,1968,nba mvp,Wilt Chamberlain,31,PHI,88.0,504.0,695.0,0.725,True,3485,699
3231,1968,nba roy,Earl Monroe,23,BAL,78.0,78.0,79.0,0.987,True,3221,949
3233,1967,nba mvp,Wilt Chamberlain,30,PHI,80.0,444.0,540.0,0.822,True,3118,699
3238,1967,nba roy,Dave Bing,23,DET,74.0,74.0,90.0,0.822,True,3010,869
3241,1966,nba mvp,Wilt Chamberlain,29,PHI,48.0,181.0,445.0,0.407,True,2984,699
3247,1966,nba roy,Rick Barry,21,SFW,84.0,84.0,86.0,0.977,True,2956,856
3249,1965,nba mvp,Bill Russell,30,BOS,53.0,53.0,99.0,0.535,True,2735,610
3254,1965,nba roy,Willis Reed,22,NYK,47.0,47.0,79.0,0.595,True,2847,839
3260,1964,nba mvp,Oscar Robertson,25,CIN,60.0,362.0,480.0,0.754,True,2689,713
3271,1964,nba roy,Jerry Lucas,23,CIN,73.5,73.5,83.0,0.886,True,2652,801
3274,1963,nba mvp,Bill Russell,28,BOS,56.0,341.0,505.0,0.675,True,2467,610
3286,1962,nba mvp,Bill Russell,27,BOS,51.0,297.0,425.0,0.699,True,2332,610
3294,1961,nba mvp,Bill Russell,26,BOS,35.0,213.0,380.0,0.561,True,2219,610
3312,1960,nba mvp,Wilt Chamberlain,23,PHW,49.0,270.0,395.0,0.684,True,2209,699
3326,1959,nba mvp,Bob Pettit,26,STL,59.0,317.0,410.0,0.773,True,1989,549
3341,1959,nba roy,Elgin Baylor,24,MNL,73.0,73.0,85.0,0.859,True,2012,664
3342,1958,nba mvp,Bill Russell,23,BOS,33.0,228.0,400.0,0.57,True,1875,610
3356,1957,nba mvp,Bob Cousy,28,BOS,23.0,23.0,80.0,0.288,True,1766,420
3368,1956,nba mvp,Bob Pettit,23,STL,33.0,33.0,80.0,0.413,True,1658,549
